game_version,mod_version,file_id,uploaded_at,file_name,file_url
"1.20.2","4.24.0","6924241","Aug 24, 2025","Super Factory Manager (SFM)-MC1.20.2-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924241"
"1.20.1","4.24.0","6924239","Aug 24, 2025","Super Factory Manager (SFM)-MC1.20.1-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924239"
"1.20","4.24.0","6924237","Aug 24, 2025","Super Factory Manager (SFM)-MC1.20-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924237"
"1.19.4","4.24.0","6924236","Aug 24, 2025","Super Factory Manager (SFM)-MC1.19.4-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924236"
"1.19.2","4.24.0","6924234","Aug 24, 2025","Super Factory Manager (SFM)-MC1.19.2-4.24.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6924234"
"1.21.1","4.23.0","6849471","Aug 5, 2025","Super Factory Manager (SFM)-MC1.21.1-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849471"
"1.21","4.23.0","6849470","Aug 5, 2025","Super Factory Manager (SFM)-MC1.21-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849470"
"1.20.4","4.23.0","6849468","Aug 5, 2025","Super Factory Manager (SFM)-MC1.20.4-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849468"
"1.20.3","4.23.0","6849467","Aug 5, 2025","Super Factory Manager (SFM)-MC1.20.3-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849467"
"1.20.2","4.23.0","6849466","Aug 5, 2025","Super Factory Manager (SFM)-MC1.20.2-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849466"
"1.20.1","4.23.0","6849465","Aug 5, 2025","Super Factory Manager (SFM)-MC1.20.1-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849465"
"1.20","4.23.0","6849464","Aug 5, 2025","Super Factory Manager (SFM)-MC1.20-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849464"
"1.19.4","4.23.0","6849462","Aug 5, 2025","Super Factory Manager (SFM)-MC1.19.4-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849462"
"1.19.2","4.23.0","6849461","Aug 5, 2025","Super Factory Manager (SFM)-MC1.19.2-4.23.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/6849461"
